,country_name,density,median_age,population,urban_perc
0,China,153.0,38.0,1439323776.0,61.0
1,India,464.0,28.0,1380004385.0,35.0
2,United States,36.0,38.0,331002651.0,83.0
3,Indonesia,151.0,30.0,273523615.0,56.0
4,Pakistan,287.0,23.0,220892340.0,35.0
5,Brazil,25.0,33.0,212559417.0,88.0
6,Nigeria,226.0,18.0,206139589.0,52.0
7,Bangladesh,1265.0,28.0,164689383.0,39.0
8,Russia,9.0,40.0,145934462.0,74.0
9,Mexico,66.0,29.0,128932753.0,84.0
10,Japan,347.0,48.0,126476461.0,92.0
11,Ethiopia,115.0,19.0,114963588.0,21.0
12,Philippines,368.0,26.0,109581078.0,47.0
13,Egypt,103.0,25.0,102334404.0,43.0
14,Vietnam,314.0,32.0,97338579.0,38.0
15,DR Congo,40.0,17.0,89561403.0,46.0
16,Turkey,110.0,32.0,84339067.0,76.0
17,Iran,52.0,32.0,83992949.0,76.0
18,Germany,240.0,46.0,83783942.0,76.0
19,Thailand,137.0,40.0,69799978.0,51.0
20,United Kingdom,281.0,40.0,67886011.0,83.0
21,France,119.0,42.0,65273511.0,82.0
22,Italy,206.0,47.0,60461826.0,69.0
23,Tanzania,67.0,18.0,59734218.0,37.0
24,South Africa,49.0,28.0,59308690.0,67.0
25,Myanmar,83.0,29.0,54409800.0,31.0
26,Kenya,94.0,20.0,53771296.0,28.0
27,South Korea,527.0,44.0,51269185.0,82.0
28,Colombia,46.0,31.0,50882891.0,80.0
29,Spain,94.0,45.0,46754778.0,80.0
30,Uganda,229.0,17.0,45741007.0,26.0
31,Argentina,17.0,32.0,45195774.0,93.0
32,Algeria,18.0,29.0,43851044.0,73.0
33,Sudan,25.0,20.0,43849260.0,35.0
34,Ukraine,75.0,41.0,43733762.0,69.0
35,Iraq,93.0,21.0,40222493.0,73.0
36,Afghanistan,60.0,18.0,38928346.0,25.0
37,Poland,124.0,42.0,37846611.0,60.0
38,Canada,4.0,41.0,37742154.0,81.0
39,Morocco,83.0,30.0,36910560.0,64.0
40,Saudi Arabia,16.0,32.0,34813871.0,84.0
41,Uzbekistan,79.0,28.0,33469203.0,50.0
42,Peru,26.0,31.0,32971854.0,79.0
43,Angola,26.0,17.0,32866272.0,67.0
44,Malaysia,99.0,30.0,32365999.0,78.0
